query,design_idx,arm,seq_idx,num_residues_matched,num_residues_expected,avg_plddt,ptm,gpde,has_clash,disorder,sample_ranking_score,self_consistency_rmsd_A,motif_post_fold_rmsd_A,motif_post_fold_max_dev_A,raw_backbone_motif_rmsd_A,designable_strict
d0_proteinmpnn_seq7,0,proteinmpnn,7,155,155,49.100849,0.488199,2.83305,0.0,0.0,0.09764,11.8686,3.6248,4.7739,1.196,False
d0_proteinmpnn_seq8,0,proteinmpnn,8,155,155,81.137131,0.774634,0.868774,0.0,0.0,0.154927,4.3049,1.4799,1.9928,1.196,False
d1_ligandmpnn_seq1,1,ligandmpnn,1,154,154,81.482857,0.794463,0.691397,0.0,0.0,0.158893,1.5901,2.8144,4.5215,1.819,False
d1_ligandmpnn_seq2,1,ligandmpnn,2,154,154,49.302917,0.347503,1.923674,0.0,0.045455,0.092228,15.3575,2.9289,4.1592,1.819,False
d1_ligandmpnn_seq3,1,ligandmpnn,3,154,154,64.272636,0.568785,1.256659,0.0,0.0,0.113757,2.4289,3.1405,4.4686,1.819,False
d1_ligandmpnn_seq4,1,ligandmpnn,4,154,154,86.968712,0.826346,0.540652,0.0,0.0,0.165269,0.5917,2.0376,2.8649,1.819,False
d1_ligandmpnn_seq5,1,ligandmpnn,5,154,154,88.481422,0.84247,0.504611,0.0,0.0,0.168494,0.8214,2.0558,2.9227,1.819,False
d1_ligandmpnn_seq6,1,ligandmpnn,6,154,154,52.450275,0.368285,1.98747,0.0,0.0,0.073657,9.7566,4.8877,7.2087,1.819,False
d1_ligandmpnn_seq7,1,ligandmpnn,7,154,154,46.175003,0.254097,2.559192,0.0,0.0,0.050819,15.3427,5.4407,7.906,1.819,False
d1_ligandmpnn_seq8,1,ligandmpnn,8,154,154,60.030834,0.500841,1.487802,0.0,0.0,0.100168,10.7139,1.6917,2.3901,1.819,False
d1_proteinmpnn_seq1,1,proteinmpnn,1,154,154,59.884052,0.51933,1.741906,0.0,0.0,0.103866,0.9942,2.0178,2.9582,1.819,False
d1_proteinmpnn_seq2,1,proteinmpnn,2,154,154,54.162441,0.440811,1.638007,0.0,0.0,0.088162,6.3221,3.5564,4.9035,1.819,False
d1_proteinmpnn_seq3,1,proteinmpnn,3,154,154,63.937157,0.605036,1.370294,0.0,0.0,0.121007,2.2737,2.8151,3.7592,1.819,False
d1_proteinmpnn_seq4,1,proteinmpnn,4,154,154,88.829933,0.871689,0.5014,0.0,0.0,0.174338,0.9256,1.7889,2.7091,1.819,False
d1_proteinmpnn_seq5,1,proteinmpnn,5,154,154,89.17421,0.856056,0.483325,0.0,0.0,0.171211,0.9843,1.7663,2.5427,1.819,False
d1_proteinmpnn_seq6,1,proteinmpnn,6,154,154,88.442368,0.848297,0.523449,0.0,0.0,0.169659,0.7758,1.7947,2.6119,1.819,False
d1_proteinmpnn_seq7,1,proteinmpnn,7,154,154,87.016846,0.82995,0.532922,0.0,0.0,0.16599,0.8977,1.9348,2.8838,1.819,False
d1_proteinmpnn_seq8,1,proteinmpnn,8,154,154,86.93573,0.826347,0.474068,0.0,0.0,0.165269,0.7905,1.9102,2.7806,1.819,False
d2_ligandmpnn_seq1,2,ligandmpnn,1,138,138,47.742023,0.368453,2.55042,0.0,0.043478,0.09543,7.0544,4.4951,5.4083,1.893,False
d2_ligandmpnn_seq2,2,ligandmpnn,2,138,138,82.100349,0.76098,0.67608,0.0,0.0,0.152196,2.3666,2.6202,3.5822,1.893,False
d2_ligandmpnn_seq3,2,ligandmpnn,3,138,138,50.752296,0.340275,2.191185,0.0,0.0,0.068055,15.9263,4.3717,6.5668,1.893,False
d2_ligandmpnn_seq4,2,ligandmpnn,4,138,138,51.663654,0.375934,2.348996,0.0,0.072464,0.111419,15.2165,6.2604,8.5582,1.893,False
d2_ligandmpnn_seq5,2,ligandmpnn,5,138,138,54.642231,0.367956,1.94039,0.0,0.0,0.073591,17.3079,5.3567,7.019,1.893,False
d2_ligandmpnn_seq6,2,ligandmpnn,6,138,138,47.023056,0.331448,2.474008,0.0,0.021739,0.077159,5.7677,4.8574,5.8498,1.893,False
d2_ligandmpnn_seq7,2,ligandmpnn,7,138,138,49.324837,0.339261,2.245934,0.0,0.050725,0.093215,14.8932,3.9472,6.1761,1.893,False
d2_ligandmpnn_seq8,2,ligandmpnn,8,138,138,43.179123,0.258623,2.154494,0.0,0.065217,0.084333,13.6685,5.0037,6.5209,1.893,False
d2_proteinmpnn_seq1,2,proteinmpnn,1,138,138,85.319847,0.827539,0.577121,0.0,0.0,0.165508,1.0139,2.4036,3.6345,1.893,False
d2_proteinmpnn_seq2,2,proteinmpnn,2,138,138,85.885567,0.829507,0.573407,0.0,0.0,0.165901,1.9055,2.414,3.6624,1.893,False
d2_proteinmpnn_seq3,2,proteinmpnn,3,138,138,55.89389,0.458465,1.815827,0.0,0.0,0.091693,13.0246,4.3246,5.9996,1.893,False
d2_proteinmpnn_seq4,2,proteinmpnn,4,138,138,58.069759,0.453504,1.74516,0.0,0.0,0.090701,17.1833,4.3585,5.6537,1.893,False
d2_proteinmpnn_seq5,2,proteinmpnn,5,138,138,56.544292,0.480994,1.711183,0.0,0.0,0.096199,14.786,5.0184,6.5339,1.893,False
d2_proteinmpnn_seq6,2,proteinmpnn,6,138,138,56.201023,0.525835,2.033485,0.0,0.0,0.105167,7.3901,5.8504,8.589,1.893,False
d2_proteinmpnn_seq7,2,proteinmpnn,7,138,138,83.075821,0.792215,0.667414,0.0,0.0,0.158443,2.7097,2.9224,4.4151,1.893,False
d2_proteinmpnn_seq8,2,proteinmpnn,8,138,138,66.354355,0.630547,1.232167,0.0,0.0,0.126109,9.4594,5.1392,6.2809,1.893,False
d3_ligandmpnn_seq1,3,ligandmpnn,1,145,145,87.899895,0.841774,0.532189,0.0,0.0,0.168355,1.0392,2.7627,4.1659,2.1,False
d3_ligandmpnn_seq2,3,ligandmpnn,2,145,145,87.965164,0.842685,0.523428,0.0,0.0,0.168537,2.672,2.7139,4.1246,2.1,False
d3_ligandmpnn_seq3,3,ligandmpnn,3,145,145,83.077065,0.782596,0.625717,0.0,0.0,0.156519,3.1167,2.52,3.7318,2.1,False
d3_ligandmpnn_seq4,3,ligandmpnn,4,145,145,89.529869,0.859238,0.490078,0.0,0.0,0.171848,1.6417,2.4489,3.5263,2.1,False
d3_ligandmpnn_seq5,3,ligandmpnn,5,145,145,91.97625,0.888912,0.444792,0.0,0.0,0.177782,1.0447,2.6848,4.1095,2.1,False
d3_ligandmpnn_seq6,3,ligandmpnn,6,145,145,87.877647,0.830648,0.530734,0.0,0.0,0.16613,1.0294,2.8168,4.2987,2.1,False
d3_ligandmpnn_seq7,3,ligandmpnn,7,145,145,90.329147,0.870163,0.478477,0.0,0.0,0.174033,0.6571,2.6332,3.9027,2.1,False
d3_ligandmpnn_seq8,3,ligandmpnn,8,145,145,89.642105,0.845566,0.502917,0.0,0.0,0.169113,0.6731,2.3864,3.4982,2.1,False
d3_proteinmpnn_seq1,3,proteinmpnn,1,145,145,69.362526,0.642431,1.213695,0.0,0.0,0.128486,12.902,5.4595,8.6965,2.1,False
d3_proteinmpnn_seq2,3,proteinmpnn,2,145,145,81.966942,0.774117,0.673718,0.0,0.0,0.154823,2.5922,2.6002,3.6111,2.1,False
d3_proteinmpnn_seq3,3,proteinmpnn,3,145,145,89.170326,0.834985,0.531043,0.0,0.0,0.166997,0.7272,2.3404,3.284,2.1,False
d3_proteinmpnn_seq4,3,proteinmpnn,4,145,145,86.023674,0.800141,0.615984,0.0,0.0,0.160028,0.6738,2.2133,3.0554,2.1,False
d3_proteinmpnn_seq5,3,proteinmpnn,5,145,145,87.744827,0.848679,0.563371,0.0,0.0,0.169736,0.6449,2.237,3.1872,2.1,False
d3_proteinmpnn_seq6,3,proteinmpnn,6,145,145,64.646461,0.58597,1.536406,0.0,0.0,0.117194,14.0549,5.2286,8.0159,2.1,False
d3_proteinmpnn_seq7,3,proteinmpnn,7,145,145,89.250854,0.838181,0.52752,0.0,0.0,0.167636,0.8279,2.2889,3.2463,2.1,False
d3_proteinmpnn_seq8,3,proteinmpnn,8,145,145,88.095306,0.828055,0.562428,0.0,0.0,0.165611,0.8248,2.1381,2.9693,2.1,False
d4_ligandmpnn_seq1,4,ligandmpnn,1,147,147,84.020576,0.801815,0.696163,0.0,0.0,0.160363,1.8967,1.7277,2.3976,1.282,False
d4_ligandmpnn_seq2,4,ligandmpnn,2,147,147,80.753395,0.769664,0.694958,0.0,0.0,0.153933,3.7066,1.7369,2.226,1.282,False
d4_ligandmpnn_seq3,4,ligandmpnn,3,147,147,84.554176,0.788706,0.671144,0.0,0.0,0.157741,4.4868,1.857,2.6851,1.282,False
d4_ligandmpnn_seq4,4,ligandmpnn,4,147,147,84.543549,0.810993,0.658771,0.0,0.0,0.162199,4.0816,1.7966,2.7357,1.282,False
d4_ligandmpnn_seq5,4,ligandmpnn,5,147,147,86.735252,0.832222,0.627023,0.0,0.0,0.166444,1.7887,1.9224,2.6746,1.282,False
d4_ligandmpnn_seq6,4,ligandmpnn,6,147,147,85.010101,0.808505,0.682538,0.0,0.0,0.161701,1.9285,1.7226,2.4906,1.282,False
d4_ligandmpnn_seq7,4,ligandmpnn,7,147,147,85.086472,0.812245,0.632136,0.0,0.0,0.162449,4.3853,2.0511,3.0554,1.282,False
d4_ligandmpnn_seq8,4,ligandmpnn,8,147,147,84.59317,0.813096,0.692557,0.0,0.0,0.162619,1.1082,1.8112,2.607,1.282,False
d4_proteinmpnn_seq1,4,proteinmpnn,1,147,147,83.639366,0.803342,0.690348,0.0,0.006803,0.16407,2.0632,1.4933,2.0096,1.282,False
d4_proteinmpnn_seq2,4,proteinmpnn,2,147,147,83.094757,0.773704,0.718696,0.0,0.006803,0.158142,2.1661,1.4806,2.0549,1.282,False
d4_proteinmpnn_seq3,4,proteinmpnn,3,147,147,82.961235,0.788078,0.699011,0.0,0.006803,0.161017,1.9535,1.7752,2.0985,1.282,False
d4_proteinmpnn_seq4,4,proteinmpnn,4,147,147,83.812645,0.794208,0.69176,0.0,0.0,0.158842,4.5453,1.4162,1.8162,1.282,False
d4_proteinmpnn_seq5,4,proteinmpnn,5,147,147,82.41964,0.783996,0.710159,0.0,0.034014,0.173806,1.8232,1.7485,2.5234,1.282,False
d4_proteinmpnn_seq6,4,proteinmpnn,6,147,147,84.127518,0.805332,0.655593,0.0,0.027211,0.174672,3.9851,1.5254,2.0474,1.282,False
d4_proteinmpnn_seq7,4,proteinmpnn,7,147,147,83.703682,0.802871,0.681752,0.0,0.034014,0.177581,1.7793,1.5637,2.2073,1.282,False
d4_proteinmpnn_seq8,4,proteinmpnn,8,147,147,80.735291,0.761691,0.748914,0.0,0.0,0.152338,4.3886,1.6193,2.4377,1.282,False
d5_ligandmpnn_seq1,5,ligandmpnn,1,134,134,87.326363,0.81786,0.522231,0.0,0.0,0.163572,1.0258,2.4561,3.2606,2.145,False
d5_ligandmpnn_seq2,5,ligandmpnn,2,134,134,87.50174,0.829418,0.53681,0.0,0.0,0.165884,1.0006,2.4142,3.2482,2.145,False
d5_ligandmpnn_seq3,5,ligandmpnn,3,134,134,86.919258,0.818174,0.547889,0.0,0.0,0.163635,0.9344,2.3751,3.169,2.145,False
d5_ligandmpnn_seq4,5,ligandmpnn,4,134,134,88.688194,0.86203,0.516578,0.0,0.0,0.172406,1.199,3.0232,3.9036,2.145,False
d5_ligandmpnn_seq5,5,ligandmpnn,5,134,134,86.506912,0.802059,0.545201,0.0,0.0,0.160412,0.9741,2.4637,3.2528,2.145,False
d5_ligandmpnn_seq6,5,ligandmpnn,6,134,134,85.857635,0.822017,0.564085,0.0,0.0,0.164403,1.2813,3.4208,4.4087,2.145,False
d5_ligandmpnn_seq7,5,ligandmpnn,7,134,134,79.679474,0.734294,0.675149,0.0,0.0,0.146859,1.2014,3.3861,4.3379,2.145,False
d5_ligandmpnn_seq8,5,ligandmpnn,8,134,134,85.485847,0.812791,0.563487,0.0,0.0,0.162558,0.9131,2.3507,3.2081,2.145,False
d5_proteinmpnn_seq1,5,proteinmpnn,1,134,134,88.732918,0.837175,0.495075,0.0,0.0,0.167435,1.1074,2.4167,3.163,2.145,False
d5_proteinmpnn_seq2,5,proteinmpnn,2,134,134,88.164825,0.825961,0.506404,0.0,0.0,0.165192,0.9046,2.1821,2.9298,2.145,False
d5_proteinmpnn_seq3,5,proteinmpnn,3,134,134,83.091652,0.7821,0.581754,0.0,0.0,0.15642,1.3145,2.2684,3.0661,2.145,False
d5_proteinmpnn_seq4,5,proteinmpnn,4,134,134,68.385635,0.635775,1.143983,0.0,0.0,0.127155,5.257,5.3744,6.7066,2.145,False
d5_proteinmpnn_seq5,5,proteinmpnn,5,134,134,89.178535,0.862698,0.475076,0.0,0.0,0.17254,1.048,2.2962,3.0948,2.145,False
d5_proteinmpnn_seq6,5,proteinmpnn,6,134,134,85.224464,0.799497,0.568144,0.0,0.0,0.159899,0.8303,2.4377,3.2466,2.145,False
d5_proteinmpnn_seq7,5,proteinmpnn,7,134,134,82.589836,0.76758,0.645905,0.0,0.0,0.153516,3.4556,2.3716,3.0514,2.145,False
d5_proteinmpnn_seq8,5,proteinmpnn,8,134,134,87.441055,0.851196,0.494468,0.0,0.0,0.170239,1.1406,2.235,3.0004,2.145,False
d6_ligandmpnn_seq1,6,ligandmpnn,1,126,126,88.883591,0.841834,0.534769,0.0,0.0,0.168367,0.6251,1.8198,2.6568,1.568,False
d6_ligandmpnn_seq2,6,ligandmpnn,2,126,126,88.631126,0.855288,0.534166,0.0,0.0,0.171058,0.6,1.7671,2.6419,1.568,False
d6_ligandmpnn_seq3,6,ligandmpnn,3,126,126,87.304054,0.840583,0.562368,0.0,0.0,0.168117,0.5906,1.8218,2.5935,1.568,False
d6_ligandmpnn_seq4,6,ligandmpnn,4,126,126,88.64959,0.847102,0.531361,0.0,0.0,0.16942,0.5934,1.6949,2.4813,1.568,False
d6_ligandmpnn_seq5,6,ligandmpnn,5,126,126,86.308067,0.798154,0.588836,0.0,0.0,0.159631,1.7422,2.7442,3.9377,1.568,False
d6_ligandmpnn_seq6,6,ligandmpnn,6,126,126,87.052917,0.825272,0.580595,0.0,0.0,0.165054,0.6791,1.7958,2.6926,1.568,False
d6_ligandmpnn_seq7,6,ligandmpnn,7,126,126,85.856186,0.819013,0.601194,0.0,0.0,0.163803,1.6382,3.1628,4.5461,1.568,False
d6_ligandmpnn_seq8,6,ligandmpnn,8,126,126,87.101967,0.832498,0.586019,0.0,0.0,0.1665,0.5491,1.8237,2.7003,1.568,False
d6_proteinmpnn_seq1,6,proteinmpnn,1,126,126,82.95578,0.764375,0.668405,0.0,0.0,0.152875,0.7006,1.7023,2.4884,1.568,False
d6_proteinmpnn_seq2,6,proteinmpnn,2,126,126,71.654503,0.636073,1.023443,0.0,0.0,0.127215,4.185,2.0224,2.7984,1.568,False
d6_proteinmpnn_seq3,6,proteinmpnn,3,126,126,89.887032,0.84645,0.520472,0.0,0.0,0.16929,0.7315,1.7699,2.5558,1.568,False
d6_proteinmpnn_seq4,6,proteinmpnn,4,126,126,88.598511,0.842361,0.551681,0.0,0.0,0.168472,0.7824,1.7901,2.6127,1.568,False
d6_proteinmpnn_seq5,6,proteinmpnn,5,126,126,88.437416,0.834815,0.526969,0.0,0.0,0.166963,0.7213,1.7864,2.5475,1.568,False
d6_proteinmpnn_seq6,6,proteinmpnn,6,126,126,86.915215,0.831089,0.581829,0.0,0.0,0.166218,0.7601,1.8418,2.6201,1.568,False
d6_proteinmpnn_seq7,6,proteinmpnn,7,126,126,85.734146,0.792412,0.698723,0.0,0.0,0.158482,2.5766,1.9598,2.7383,1.568,False
d6_proteinmpnn_seq8,6,proteinmpnn,8,126,126,88.505821,0.854734,0.526861,0.0,0.0,0.170947,0.748,1.8246,2.6076,1.568,False
d7_ligandmpnn_seq1,7,ligandmpnn,1,150,150,87.981453,0.805467,0.547695,0.0,0.0,0.161093,0.7866,1.7829,2.2364,1.78,False
d7_ligandmpnn_seq2,7,ligandmpnn,2,150,150,91.653427,0.849352,0.483618,0.0,0.0,0.16987,0.7211,1.6247,2.1566,1.78,False
d7_ligandmpnn_seq3,7,ligandmpnn,3,150,150,90.463997,0.856764,0.458261,0.0,0.0,0.171353,0.4721,1.5977,2.1146,1.78,False
d7_ligandmpnn_seq4,7,ligandmpnn,4,150,150,87.55497,0.800238,0.537529,0.0,0.0,0.160048,0.7909,1.9361,2.4182,1.78,False
d7_ligandmpnn_seq5,7,ligandmpnn,5,150,150,87.85022,0.820352,0.521252,0.0,0.0,0.16407,0.6875,1.6592,2.2069,1.78,False
d7_ligandmpnn_seq6,7,ligandmpnn,6,150,150,89.693367,0.826741,0.53436,0.0,0.0,0.165348,0.3593,1.711,2.152,1.78,False
d7_ligandmpnn_seq7,7,ligandmpnn,7,150,150,75.593407,0.688971,0.879477,0.0,0.0,0.137794,1.2738,1.804,2.1495,1.78,False
d7_ligandmpnn_seq8,7,ligandmpnn,8,150,150,91.542084,0.868967,0.451644,0.0,0.0,0.173793,0.4058,1.6707,2.1969,1.78,False
d7_proteinmpnn_seq1,7,proteinmpnn,1,150,150,93.304787,0.893846,0.404438,0.0,0.0,0.178769,0.7237,1.7429,2.2741,1.78,False
d7_proteinmpnn_seq2,7,proteinmpnn,2,150,150,63.12114,0.560366,1.488503,0.0,0.0,0.112073,5.9543,2.4592,3.1637,1.78,False
d7_proteinmpnn_seq3,7,proteinmpnn,3,150,150,88.681557,0.809647,0.520885,0.0,0.0,0.161929,0.7177,1.7708,2.3236,1.78,False
d7_proteinmpnn_seq4,7,proteinmpnn,4,150,150,88.263832,0.833424,0.521943,0.0,0.0,0.166685,0.4916,1.7214,2.2356,1.78,False
d7_proteinmpnn_seq5,7,proteinmpnn,5,150,150,91.089737,0.832704,0.493651,0.0,0.0,0.166541,0.4688,1.734,2.2524,1.78,False
d7_proteinmpnn_seq6,7,proteinmpnn,6,150,150,88.48777,0.80036,0.557212,0.0,0.0,0.160072,0.6043,1.8476,2.2671,1.78,False
d7_proteinmpnn_seq7,7,proteinmpnn,7,150,150,92.616386,0.88144,0.425099,0.0,0.0,0.176288,0.3631,1.6449,2.1354,1.78,False
d7_proteinmpnn_seq8,7,proteinmpnn,8,150,150,93.100754,0.887981,0.419552,0.0,0.0,0.177596,0.4537,1.687,2.2263,1.78,False
d8_ligandmpnn_seq1,8,ligandmpnn,1,144,144,85.581276,0.798379,0.636215,0.0,0.0,0.159676,0.566,1.4675,1.8663,1.387,False
d8_ligandmpnn_seq2,8,ligandmpnn,2,144,144,90.743523,0.86481,0.491025,0.0,0.0,0.172962,0.7781,1.6365,1.9781,1.387,False
d8_ligandmpnn_seq3,8,ligandmpnn,3,144,144,90.297661,0.858304,0.520134,0.0,0.0,0.171661,0.5408,1.5064,1.9151,1.387,False
d8_ligandmpnn_seq4,8,ligandmpnn,4,144,144,86.869408,0.814508,0.598429,0.0,0.0,0.162902,0.5094,1.7028,2.0528,1.387,False
d8_ligandmpnn_seq5,8,ligandmpnn,5,144,144,63.895126,0.533576,1.754329,0.0,0.0,0.106715,17.7005,2.5622,3.605,1.387,False
d8_ligandmpnn_seq6,8,ligandmpnn,6,144,144,78.766197,0.733354,0.95323,0.0,0.0,0.146671,6.1421,1.5279,2.0845,1.387,False
d8_ligandmpnn_seq7,8,ligandmpnn,7,144,144,78.615318,0.735631,0.898131,0.0,0.0,0.147126,0.7982,1.9772,2.4595,1.387,False
d8_ligandmpnn_seq8,8,ligandmpnn,8,144,144,81.500854,0.770392,0.802495,0.0,0.0,0.154078,6.3584,1.5289,1.9408,1.387,False
d8_proteinmpnn_seq1,8,proteinmpnn,1,144,144,88.333054,0.834491,0.598129,0.0,0.0,0.166898,0.9098,1.3618,1.8928,1.387,False
d8_proteinmpnn_seq2,8,proteinmpnn,2,144,144,87.846268,0.83505,0.575842,0.0,0.0,0.16701,1.0271,1.9453,2.8555,1.387,False
d8_proteinmpnn_seq3,8,proteinmpnn,3,144,144,87.059433,0.817943,0.612573,0.0,0.0,0.163589,0.6066,1.6023,1.9445,1.387,False
d8_proteinmpnn_seq4,8,proteinmpnn,4,144,144,88.464256,0.843053,0.547309,0.0,0.0,0.168611,0.5804,1.4692,1.9727,1.387,False
d8_proteinmpnn_seq5,8,proteinmpnn,5,144,144,88.4067,0.819269,0.57246,0.0,0.0,0.163854,0.5604,1.519,1.7884,1.387,False
d8_proteinmpnn_seq6,8,proteinmpnn,6,144,144,90.96389,0.873868,0.482298,0.0,0.0,0.174774,0.4983,1.4261,1.8604,1.387,False
d8_proteinmpnn_seq7,8,proteinmpnn,7,144,144,86.918015,0.821579,0.613563,0.0,0.0,0.164316,0.5253,1.4333,1.9515,1.387,False
d8_proteinmpnn_seq8,8,proteinmpnn,8,144,144,89.324402,0.831935,0.558164,0.0,0.0,0.166387,0.5782,1.4784,1.7874,1.387,False
d9_ligandmpnn_seq1,9,ligandmpnn,1,144,144,90.131645,0.85538,0.447078,0.0,0.0,0.171076,0.9282,1.5238,1.8655,1.501,False
d9_ligandmpnn_seq2,9,ligandmpnn,2,144,144,61.77739,0.536712,1.376267,0.0,0.0,0.107342,2.9222,3.878,4.3747,1.501,False
d9_ligandmpnn_seq3,9,ligandmpnn,3,144,144,86.764938,0.8216,0.524229,0.0,0.0,0.16432,1.082,1.4853,1.7912,1.501,False
d9_ligandmpnn_seq4,9,ligandmpnn,4,144,144,84.021782,0.752812,0.590488,0.0,0.0,0.150562,1.1766,1.654,1.9073,1.501,False
d9_ligandmpnn_seq5,9,ligandmpnn,5,144,144,84.465385,0.787983,0.564786,0.0,0.0,0.157597,0.9904,1.3084,1.8374,1.501,False
d9_ligandmpnn_seq6,9,ligandmpnn,6,144,144,83.168938,0.758416,0.596465,0.0,0.0,0.151683,1.2095,1.4902,1.7702,1.501,False
d9_ligandmpnn_seq7,9,ligandmpnn,7,144,144,82.914993,0.750682,0.603775,0.0,0.0,0.150136,0.9126,1.5453,1.7549,1.501,False
d9_ligandmpnn_seq8,9,ligandmpnn,8,144,144,42.891693,0.294637,2.06009,0.0,0.097222,0.107539,14.0393,3.0868,3.7884,1.501,False
d9_proteinmpnn_seq1,9,proteinmpnn,1,144,144,79.890564,0.693638,0.671035,0.0,0.0,0.138728,1.1517,1.7083,1.9568,1.501,False
d9_proteinmpnn_seq2,9,proteinmpnn,2,144,144,86.589798,0.817313,0.517937,0.0,0.0,0.163463,1.0116,1.5073,1.8545,1.501,False
d9_proteinmpnn_seq3,9,proteinmpnn,3,144,144,87.278366,0.806733,0.5099,0.0,0.0,0.161347,0.7784,1.526,1.9701,1.501,False
d9_proteinmpnn_seq4,9,proteinmpnn,4,144,144,83.083572,0.760075,0.588888,0.0,0.0,0.152015,0.8763,1.5157,1.8805,1.501,False
d9_proteinmpnn_seq5,9,proteinmpnn,5,144,144,85.384888,0.76901,0.543045,0.0,0.0,0.153802,0.7721,1.5423,1.822,1.501,False
d9_proteinmpnn_seq6,9,proteinmpnn,6,144,144,48.62249,0.312394,2.058419,0.0,0.0,0.062479,1.3549,1.8257,2.055,1.501,False
d9_proteinmpnn_seq7,9,proteinmpnn,7,144,144,82.310234,0.752483,0.636661,0.0,0.0,0.150497,0.9661,1.5735,1.7939,1.501,False
d9_proteinmpnn_seq8,9,proteinmpnn,8,144,144,75.651787,0.670945,0.816229,0.0,0.0,0.134189,0.8113,1.4324,1.7303,1.501,False
